Equipe,Espécie,Folha,Comprimento (cm),Largura (cm)
1,Theobroma cacao,1,31.7,11.4
1,Theobroma cacao,2,32,12.3
1,Theobroma cacao,3,36,12.4
1,Theobroma cacao,4,26.7,9.8
1,Theobroma cacao,5,32.5,11.9
1,Theobroma cacao,6,28.1,10.6
1,Theobroma cacao,7,28.6,10
1,Theobroma cacao,8,32.9,9.5
1,Theobroma cacao,9,28,9.2
1,Theobroma cacao,10,25.5,9.3
1,Theobroma cacao,11,28.7,10.9
1,Theobroma cacao,12,24.9,9.6
1,Theobroma cacao,13,22.3,8
1,Theobroma cacao,14,30,12.2
1,Theobroma cacao,15,31,11.5
1,Theobroma cacao,16,22.6,7
1,Theobroma cacao,17,29.3,10.2
1,Theobroma cacao,18,27.9,9.5
1,Theobroma cacao,19,23.1,9.7
1,Theobroma cacao,20,34.4,12.4
1,Theobroma cacao,21,31.2,9.9
1,Theobroma cacao,22,31.7,11.8
1,Theobroma cacao,23,32.1,10
1,Theobroma cacao,24,32.1,10.9
1,Theobroma cacao,25,34.1,12.2
1,Theobroma cacao,26,30.7,10.9
1,Theobroma cacao,27,31,10
1,Theobroma cacao,28,40.3,13
1,Theobroma cacao,29,30,9.8
1,Theobroma cacao,30,27,9.9
1,Theobroma cacao,1,25.9,7.8
1,Theobroma cacao,2,23.2,8.1
1,Theobroma cacao,3,28.9,9.9
1,Theobroma cacao,4,27.4,9
1,Theobroma cacao,5,30,8.9
1,Theobroma cacao,6,28.6,9
1,Theobroma cacao,7,28,10
1,Theobroma cacao,8,29.9,10
1,Theobroma cacao,9,26.6,8.9
1,Theobroma cacao,10,22,8.2
1,Theobroma cacao,11,25.5,9.6
1,Theobroma cacao,12,25,8.9
1,Theobroma cacao,13,32.5,11.3
1,Theobroma cacao,14,25.6,9.5
1,Theobroma cacao,15,27.6,9.6
1,Theobroma cacao,16,29,9.6
1,Theobroma cacao,17,29.7,11.1
1,Theobroma cacao,18,27,29.5
1,Theobroma cacao,19,25.5,9.2
1,Theobroma cacao,20,28.1,9.2
1,Theobroma cacao,21,31.2,10.5
1,Theobroma cacao,22,28.2,9.6
1,Theobroma cacao,23,29.6,10.4
1,Theobroma cacao,24,29.9,10.8
1,Theobroma cacao,25,33,11.2
1,Theobroma cacao,26,30.4,12.1
1,Theobroma cacao,27,28.5,10
1,Theobroma cacao,28,26,10.8
1,Theobroma cacao,29,32,9.7
1,Theobroma cacao,30,29,10.5
2,Pouteria minima,1,24.5,7
2,Pouteria minima,2,17.5,4.9
2,Pouteria minima,3,26.3,6.8
2,Pouteria minima,4,24.6,7.1
2,Pouteria minima,5,23.1,6.7
2,Pouteria minima,6,21.9,7
2,Pouteria minima,7,28.4,8.1
2,Pouteria minima,8,24.1,7.1
2,Pouteria minima,9,25.9,7.1
2,Pouteria minima,10,18.2,5.8
2,Pouteria minima,11,22.6,7.1
2,Pouteria minima,12,23.6,7.3
2,Pouteria minima,13,21.2,7.4
2,Pouteria minima,14,22.4,6.3
2,Pouteria minima,15,19.2,7.1
2,Pouteria minima,16,21.1,5.8
2,Pouteria minima,17,20.4,6.1
2,Pouteria minima,18,20.6,6.1
2,Pouteria minima,19,19.1,5.6
2,Pouteria minima,20,19,5.7
2,Pouteria minima,21,24.9,7.1
2,Pouteria minima,22,29.3,8.4
2,Pouteria minima,23,20.6,6.9
2,Pouteria minima,24,25.2,7.3
2,Pouteria minima,25,21.5,5.8
2,Pouteria minima,26,26.5,7.2
2,Pouteria minima,27,20.5,6.3
2,Pouteria minima,28,14.4,4.9
2,Pouteria minima,29,15.4,5
2,Pouteria minima,30,24.3,6.4
2,Mangifera indica L.,1,21.8,4.3
2,Mangifera indica L.,2,36.5,6
2,Mangifera indica L.,3,23,4.8
2,Mangifera indica L.,4,22,4.5
2,Mangifera indica L.,5,27.1,4.9
2,Mangifera indica L.,6,20,4.1
2,Mangifera indica L.,7,30.2,6.7
2,Mangifera indica L.,8,22.4,4.5
2,Mangifera indica L.,9,30.2,6.3
2,Mangifera indica L.,10,39.3,5.6
2,Mangifera indica L.,11,45,7.5
2,Mangifera indica L.,12,32.7,4.9
2,Mangifera indica L.,13,25.4,4.9
2,Mangifera indica L.,14,28.1,5.3
2,Mangifera indica L.,15,34.8,6.2
2,Mangifera indica L.,16,25.9,5.5
2,Mangifera indica L.,17,28.2,5.7
2,Mangifera indica L.,18,26.4,4.7
2,Mangifera indica L.,19,34,6.3
2,Mangifera indica L.,20,23,4.4
2,Mangifera indica L.,21,28.5,5.5
2,Mangifera indica L.,22,40.8,7.4
2,Mangifera indica L.,23,31.3,4.7
