Equipe,Espécie,DAP (cm),Ht (m),Hc (m),Folha,Comprimento (cm),Largura (cm)
1,Theobroma cacao,4.6,4,2.6,1,31.7,11.4
1,Theobroma cacao,4.6,4,2.6,2,32,12.3
1,Theobroma cacao,4.6,4,2.6,3,36,12.4
1,Theobroma cacao,4.6,4,2.6,4,26.7,9.8
1,Theobroma cacao,4.6,4,2.6,5,32.5,11.9
1,Theobroma cacao,4.6,4,2.6,6,28.1,10.6
1,Theobroma cacao,4.6,4,2.6,7,28.6,10
1,Theobroma cacao,4.6,4,2.6,8,32.9,9.5
1,Theobroma cacao,4.6,4,2.6,9,28,9.2
1,Theobroma cacao,4.6,4,2.6,10,25.5,9.3
1,Theobroma cacao,4.6,4,2.6,11,28.7,10.9
1,Theobroma cacao,4.6,4,2.6,12,24.9,9.6
1,Theobroma cacao,4.6,4,2.6,13,22.3,8
1,Theobroma cacao,4.6,4,2.6,14,30,12.2
1,Theobroma cacao,4.6,4,2.6,15,31,11.5
1,Theobroma cacao,4.6,4,2.6,16,22.6,7
1,Theobroma cacao,4.6,4,2.6,17,29.3,10.2
1,Theobroma cacao,4.6,4,2.6,18,27.9,9.5
1,Theobroma cacao,4.6,4,2.6,19,23.1,9.7
1,Theobroma cacao,4.6,4,2.6,20,34.4,12.4
1,Theobroma cacao,4.6,4,2.6,21,31.2,9.9
1,Theobroma cacao,4.6,4,2.6,22,31.7,11.8
1,Theobroma cacao,4.6,4,2.6,23,32.1,10
1,Theobroma cacao,4.6,4,2.6,24,32.1,10.9
1,Theobroma cacao,4.6,4,2.6,25,34.1,12.2
1,Theobroma cacao,4.6,4,2.6,26,30.7,10.9
1,Theobroma cacao,4.6,4,2.6,27,31,10
1,Theobroma cacao,4.6,4,2.6,28,40.3,13
1,Theobroma cacao,4.6,4,2.6,29,30,9.8
1,Theobroma cacao,4.6,4,2.6,30,27,9.9
1,Theobroma cacao,4.9,3.7,1.5,1,25.9,7.8
1,Theobroma cacao,4.9,3.7,1.5,2,23.2,8.1
1,Theobroma cacao,4.9,3.7,1.5,3,28.9,9.9
1,Theobroma cacao,4.9,3.7,1.5,4,27.4,9
1,Theobroma cacao,4.9,3.7,1.5,5,30,8.9
1,Theobroma cacao,4.9,3.7,1.5,6,28.6,9
1,Theobroma cacao,4.9,3.7,1.5,7,28,10
1,Theobroma cacao,4.9,3.7,1.5,8,29.9,10
1,Theobroma cacao,4.9,3.7,1.5,9,26.6,8.9
1,Theobroma cacao,4.9,3.7,1.5,10,22,8.2
1,Theobroma cacao,4.9,3.7,1.5,11,25.5,9.6
1,Theobroma cacao,4.9,3.7,1.5,12,25,8.9
1,Theobroma cacao,4.9,3.7,1.5,13,32.5,11.3
1,Theobroma cacao,4.9,3.7,1.5,14,25.6,9.5
1,Theobroma cacao,4.9,3.7,1.5,15,27.6,9.6
1,Theobroma cacao,4.9,3.7,1.5,16,29,9.6
1,Theobroma cacao,4.9,3.7,1.5,17,29.7,11.1
1,Theobroma cacao,4.9,3.7,1.5,18,27,29.5
1,Theobroma cacao,4.9,3.7,1.5,19,25.5,9.2
1,Theobroma cacao,4.9,3.7,1.5,20,28.1,9.2
1,Theobroma cacao,4.9,3.7,1.5,21,31.2,10.5
1,Theobroma cacao,4.9,3.7,1.5,22,28.2,9.6
1,Theobroma cacao,4.9,3.7,1.5,23,29.6,10.4
1,Theobroma cacao,4.9,3.7,1.5,24,29.9,10.8
1,Theobroma cacao,4.9,3.7,1.5,25,33,11.2
1,Theobroma cacao,4.9,3.7,1.5,26,30.4,12.1
1,Theobroma cacao,4.9,3.7,1.5,27,28.5,10
1,Theobroma cacao,4.9,3.7,1.5,28,26,10.8
1,Theobroma cacao,4.9,3.7,1.5,29,32,9.7
1,Theobroma cacao,4.9,3.7,1.5,30,29,10.5
2,Pouteria minima,15,10.8,3.0,1,24.5,7
2,Pouteria minima,15,10.8,3.0,2,17.5,4.9
2,Pouteria minima,15,10.8,3.0,3,26.3,6.8
2,Pouteria minima,15,10.8,3.0,4,24.6,7.1
2,Pouteria minima,15,10.8,3.0,5,23.1,6.7
2,Pouteria minima,15,10.8,3.0,6,21.9,7
2,Pouteria minima,15,10.8,3.0,7,28.4,8.1
2,Pouteria minima,15,10.8,3.0,8,24.1,7.1
2,Pouteria minima,15,10.8,3.0,9,25.9,7.1
2,Pouteria minima,15,10.8,3.0,10,18.2,5.8
2,Pouteria minima,15,10.8,3.0,11,22.6,7.1
2,Pouteria minima,15,10.8,3.0,12,23.6,7.3
2,Pouteria minima,15,10.8,3.0,13,21.2,7.4
2,Pouteria minima,15,10.8,3.0,14,22.4,6.3
2,Pouteria minima,15,10.8,3.0,15,19.2,7.1
2,Pouteria minima,15,10.8,3.0,16,21.1,5.8
2,Pouteria minima,15,10.8,3.0,17,20.4,6.1
2,Pouteria minima,15,10.8,3.0,18,20.6,6.1
2,Pouteria minima,15,10.8,3.0,19,19.1,5.6
2,Pouteria minima,15,10.8,3.0,20,19,5.7
2,Pouteria minima,15,10.8,3.0,21,24.9,7.1
2,Pouteria minima,15,10.8,3.0,22,29.3,8.4
